subject,relation,object
食物,名称,佛跳墙
佛跳墙,味道,腥味
食物,名称,炒杏鲍菇
炒杏鲍菇,外形,奇怪味道
炒杏鲍菇,外形,奇怪
食物,名称,红烧肉
红烧肉,口感,不错
红烧肉,口感,佛跳墙
红烧肉,口感,炒杏鲍菇
红烧肉,口感,红烧肉
食物,名称,牛蛙煲
牛蛙煲,味道,甜
牛蛙煲,味道,重辣
牛蛙煲,味道,肉蟹煲
牛蛙煲,味道,米饭
牛蛙煲,味道,牛蛙煲
食物,名称,田鸡
田鸡,味道,新鲜
田鸡,味道,新鲜的
田鸡,味道,清甜味
食物,名称,小龙虾
小龙虾,味道,香
小龙虾,口感,香味
小龙虾,外形,去头
食物,名称,香辣小龙虾
香辣小龙虾,味道,香味
香辣小龙虾,味道,香
香辣小龙虾,味道,甜味
香辣小龙虾,口感,没有味道
香辣小龙虾,口感,去头
香辣小龙虾,口感,干净
香辣小龙虾,外形,紧致弹
香辣小龙虾,外形,去头
食物,名称,二郎田鸡
二郎田鸡,味道,新鲜
二郎田鸡,口感,清甜味
二郎田鸡,口感,紧致弹
食物,名称,田鸡腿
田鸡腿,味道,新鲜的
田鸡腿,口感,新鲜
田鸡腿,口感,嫩
食物,名称,白锅汤
白锅汤,味道,没有味道
白锅汤,口感,中辣微麻
食物,名称,油炸腐竹
油炸腐竹,味道,清甜味
油炸腐竹,味道,香
油炸腐竹,口感,油渣的香味
油炸腐竹,外形,油渣
二郎田鸡,口感,田鸡
二郎田鸡,口感,小龙虾
二郎田鸡,口感,香辣小龙虾
二郎田鸡,口感,二郎田鸡
二郎田鸡,口感,田鸡腿
二郎田鸡,口感,白锅汤
二郎田鸡,口感,油炸腐竹
食物,名称,鸡茸蘑菇汤
鸡茸蘑菇汤,外形,足
鸡茸蘑菇汤,外形,蛋糕
鸡茸蘑菇汤,外形,牛排
鸡茸蘑菇汤,外形,鹅肝炒饭
鸡茸蘑菇汤,外形,青柠苏打
鸡茸蘑菇汤,外形,鸡茸蘑菇汤
食物,名称,海胆酱烧元贝
海胆酱烧元贝,口感,浓浓的
海胆酱烧元贝,口感,铺满表层
海胆酱烧元贝,外形,浓浓的
海胆酱烧元贝,外形,铺满表层
食物,名称,刺身拼盘
刺身拼盘,味道,鲜
食物,名称,芝士三文鱼焗卷
芝士三文鱼焗卷,口感,芝士香味
芝士三文鱼焗卷,口感,微煎过的
芝士三文鱼焗卷,口感,寿司
芝士三文鱼焗卷,口感,海胆酱烧元贝
芝士三文鱼焗卷,口感,刺身拼盘
芝士三文鱼焗卷,口感,芝士三文鱼焗卷
食物,名称,味增汤
味增汤,味道,咸咸的
味增汤,味道,鲜鲜的
味增汤,味道,腥
食物,名称,沙拉
沙拉,口感,新鲜
沙拉,口感,爽口
食物,名称,脆皮豆腐
脆皮豆腐,口感,有味道
脆皮豆腐,口感,不油腻
脆皮豆腐,口感,生涩
脆皮豆腐,口感,酥脆
食物,名称,饭
饭,口感,软烂
饭,口感,欠缺了一点点口感
食物,名称,炸豆腐
炸豆腐,口感,有味道
炸豆腐,口感,生涩
食物,名称,奶酪猪排
奶酪猪排,口感,不油腻
奶酪猪排,口感,酥脆
食物,名称,雪花牛肉套餐
雪花牛肉套餐,口感,入味
雪花牛肉套餐,外形,软烂
雪花牛肉套餐,外形,大片
食物,名称,猪排
猪排,口感,酥脆
猪排,口感,香嫩
猪排,口感,不油腻
食物,名称,樱花
樱花,味道,香甜
樱花,味道,味增汤
樱花,味道,沙拉
樱花,味道,脆皮豆腐
樱花,味道,饭
樱花,味道,炸豆腐
樱花,味道,奶酪猪排
樱花,味道,雪花牛肉套餐
樱花,味道,猪排
樱花,味道,樱花
食物,名称,小卤肉饭
小卤肉饭,外形,浓郁
小卤肉饭,外形,小小的
小卤肉饭,外形,小卤肉饭
食物,名称,剁椒牛肉米线
剁椒牛肉米线,口感,辣
剁椒牛肉米线,外形,井然有序
剁椒牛肉米线,外形,多
剁椒牛肉米线,外形,光滑明亮
食物,名称,米线
米线,味道,棒
米线,外形,辣
米线,外形,光滑明亮
食物,名称,番茄牛腩米线
番茄牛腩米线,外形,光滑明亮
番茄牛腩米线,外形,剁椒牛肉米线
番茄牛腩米线,外形,米线
番茄牛腩米线,外形,番茄牛腩米线
食物,名称,酸梅汤
酸梅汤,味道,川辣
食物,名称,酸辣粉
酸辣粉,味道,辣味儿
酸辣粉,味道,地道
酸辣粉,味道,川辣
食物,名称,剁椒鱼头
剁椒鱼头,口感,辣
剁椒鱼头,口感,软烂鲜香
剁椒鱼头,口感,入口即化
食物,名称,宫保虾球
宫保虾球,味道,川辣
食物,名称,担担面
担担面,味道,川辣
