,A,B,C
0,食物,名称,佛跳墙
1,佛跳墙,味道,腥味
2,食物,名称,炒杏鲍菇
3,炒杏鲍菇,外形,奇怪味道
4,炒杏鲍菇,外形,奇怪
5,食物,名称,红烧肉
6,红烧肉,口感,不错
7,红烧肉,口感,佛跳墙
8,红烧肉,口感,炒杏鲍菇
9,红烧肉,口感,红烧肉
10,红烧肉,口感,佛跳墙
11,红烧肉,口感,炒杏鲍菇
12,红烧肉,口感,红烧肉
13,,,肉蟹煲
14,,,米饭
15,食物,名称,牛蛙煲
16,牛蛙煲,味道,甜
17,牛蛙煲,味道,重辣
18,牛蛙煲,味道,肉蟹煲
19,牛蛙煲,味道,米饭
20,牛蛙煲,味道,牛蛙煲
21,牛蛙煲,味道,肉蟹煲
22,牛蛙煲,味道,米饭
23,牛蛙煲,味道,牛蛙煲
24,食物,名称,田鸡
25,田鸡,味道,新鲜
26,田鸡,味道,新鲜的
27,田鸡,味道,清甜味
28,食物,名称,小龙虾
29,小龙虾,味道,香
30,小龙虾,口感,香味
31,小龙虾,外形,去头
32,小龙虾,外形,去头
33,食物,名称,香辣小龙虾
34,香辣小龙虾,味道,香味
35,香辣小龙虾,味道,香
36,香辣小龙虾,味道,甜味
37,香辣小龙虾,口感,没有味道
38,香辣小龙虾,口感,去头
39,香辣小龙虾,口感,干净
40,香辣小龙虾,外形,紧致弹
41,香辣小龙虾,外形,去头
42,食物,名称,香辣小龙虾
43,香辣小龙虾,味道,香味
44,香辣小龙虾,味道,香
45,香辣小龙虾,味道,甜味
46,香辣小龙虾,口感,没有味道
47,香辣小龙虾,口感,去头
48,香辣小龙虾,口感,干净
49,香辣小龙虾,外形,紧致弹
50,香辣小龙虾,外形,去头
51,食物,名称,二郎田鸡
52,二郎田鸡,味道,新鲜
53,二郎田鸡,口感,清甜味
54,二郎田鸡,口感,紧致弹
55,食物,名称,田鸡
56,田鸡,味道,新鲜
57,田鸡,味道,新鲜的
58,田鸡,味道,清甜味
59,食物,名称,田鸡腿
60,田鸡腿,味道,新鲜的
61,田鸡腿,口感,新鲜
62,田鸡腿,口感,嫩
63,食物,名称,白锅汤
64,白锅汤,味道,没有味道
65,白锅汤,味道,没有味道
66,白锅汤,口感,中辣微麻
67,白锅汤,口感,中辣微麻
68,食物,名称,田鸡
69,田鸡,味道,新鲜
70,田鸡,味道,新鲜的
71,田鸡,味道,清甜味
72,食物,名称,香辣小龙虾
73,香辣小龙虾,味道,香味
