source_row,subject,relation,object
13,,,肉蟹煲
14,,,米饭
115,,,牛排
116,,,鹅肝炒饭
117,,,青柠苏打
399,,,酸辣粉
484,,,火锅
485,,,鬼饮食
486,,,烧烤
487,,,烧烤
488,,,烧烤
532,,,肉丸子
689,,,米星
690,,,米星
691,,,米星
737,,,烤鱼
1048,,,客家豆腐
1180,,,水
1267,,,奶油蛋糕
1282,,,摇滚沙拉
1331,,,七分甜
1375,,,鲍鱼茄子煲
1376,,,肉三鲜
1392,,,海鲜
1407,,,晾衣鹅肠
1504,牛排,外形,
1701,,,啤酒
1776,,,羊腿肉
1777,,,麻酱油麦菜
1778,,,水煮虹鳟
1798,,,铁锅炖江鱼
1868,,,芝士炒饭
1898,鸡肉卷,味道,
2039,,,咖啡
2040,,,咖啡
2041,,,烤面包
2361,,,冬瓜蜜
2388,,,霸王餐
2389,,,钟水饺
2482,,,川贝雪梨
2483,,,王府豉油
2534,,,饺子
2535,,,沙拉
2536,,,
2545,美式披萨,味道,
2550,美式披萨,味道,
2869,,,饺子宴
2960,,,酸汤鱼
2961,,,酸汤鱼
2962,,,酸汤鱼
2963,,,酸汤鱼
2964,,,酸汤鱼
2965,,,酸汤鱼
3345,,,免费霸王餐
3346,,,自助蔬菜
3347,,,免费霸王餐
3348,,,自助蔬菜
3349,,,免费霸王餐
3350,,,自助蔬菜
3351,,,嘎嘎
3499,,,烧鹅
3500,,,惠记茶餐厅
3501,,,米饭
3502,,,酸辣海带丝
3503,,,上汤娃娃菜
3504,,,烧鹅
3505,,,烧鹅
3506,,,惠记茶餐厅
3507,,,米饭
3508,,,酸辣海带丝
3509,,,上汤娃娃菜
3510,,,烧鹅
3511,,,烧鹅
3512,,,惠记茶餐厅
3513,,,米饭
3514,,,酸辣海带丝
3515,,,上汤娃娃菜
3516,,,烧鹅
3517,,,章鱼烧
3589,,,拿铁
3619,,,盐水鸭
3620,,,碳烤酱鸭
3621,,,盐水鸭
3622,,,碳烤酱鸭
3623,,,盐水鸭
3624,,,碳烤酱鸭
