subject,relation,object,count
小丸子,外形,小丸子,16
十三香,外形,烤鱼,12
食物,名称,烤鱼,12
烤猪颈肉,口感,烤鱼,11
冬阴功汤,口感,冬阴功汤,10
寿司,外形,寿司,10
披萨,外形,披萨,10
食物,名称,火锅,9
小丸子,口感,粘粘的,8
小丸子,外形,个头挺大,8
小丸子,外形,酥脆软嫩,8
流沙包,口感,流沙包,8
烤鱼,外形,烤鱼,8
番茄牛腩米线,外形,米线,8
青笋片,口感,霸王餐,8
食物,名称,小丸子,8
食物,名称,披萨,8
麻辣宽粉,外形,烧烤,8
食物,名称,寿司,7
二郎田鸡,口感,田鸡,6
二郎田鸡,口感,香辣小龙虾,6
冬阴功汤,口感,三杯鸡,6
冬阴功汤,口感,咖喱蟹,6
冬阴功汤,口感,黄咖喱鸡,6
千层饼,外形,咕噜肉,6
咖啡,外形,咖啡,6
添福,味道,蛎黄豆腐汤,6
烤鱼,口感,好,6
烤鱼,外形,不大,6
烤鱼,外形,单调些许,6
番茄麻辣锅,味道,海底捞,6
皇后饼店,口感,新鲜,6
皇后饼店,味道,新鲜,6
皇后饼店,外形,皇后饼店,6
粥,口感,粥,6
老北京火锅,外形,火锅,6
老北京火锅,外形,老北京火锅,6
老北套餐,外形,肯德基,6
霸王餐,外形,霸王餐,6
青笋片,口感,海底捞,6
面线糊,口感,面线糊,6
韭菜炒鸡蛋,外形,炒猪肝,6
麻辣,外形,烤鸭,6
麻辣牛肉,味道,麻辣牛肉,6
啤酒,外形,饺子宴,5
披萨,口感,新鲜,5
披萨,味道,不和谐感,5
披萨,味道,番薯味,5
披萨,外形,长得一样,5
披萨,外形,饱腹感,5
流沙包,口感,虾饺,5
清炒虾仁,外形,小,5
食物,名称,冬阴功汤,5
食物,名称,霸王餐,5
二郎田鸡,口感,二郎田鸡,4
传统烤鸭,外形,黑,4
兰拉面,外形,兰拉面,4
兰拉面,外形,拉面,4
凤爪,味道,凤爪,4
凤爪,味道,金针菇,4
十三香,外形,十三香,4
十三香,外形,烤串串,4
十三香,外形,烧烤,4
千层饼,外形,芒果千层,4
千层饼,外形,面条,4
卷馍,外形,卷馍,4
叉烧包,口感,甜口的,4
发糕,口感,开背虾,4
发糕,口感,男眼镜,4
咖啡,外形,意式咖啡,4
咸蛋黄南瓜,口感,炒饭,4
土豆丸,口感,土豆丸,4
寿司,外形,三文鱼,4
年糕玉米,外形,带心儿,4
披萨,外形,薄底的,4
汉堡,口感,披萨,4
汉堡,口感,汉堡,4
泡菜炒五花肉,外形,年糕玉米,4
泡菜炒五花肉,外形,泡菜炒五花肉,4
泡菜炒五花肉,外形,红呼呼,4
流沙包,口感,不腻,4
流沙包,口感,叉烧包,4
流沙包,口感,杨枝甘露,4
流沙包,口感,甜,4
海鲜,口感,鲜活的,4
满记,外形,芒果糯米糍,4
火锅,外形,火锅,4
炉鱼,外形,炉鱼,4
炒饭,外形,颗粒分明,4
烤生蚝,外形,烤生蚝,4
烤西红柿,味道,咖啡,4
烤西红柿,味道,水波蛋,4
烤西红柿,味道,烟熏三文鱼,4
烤西红柿,味道,烤西红柿,4
烤鱼,外形,特色,4
烤鱼,外形,鸡爪,4
烧菜,口感,糖醋排骨,4
烧饼,味道,新鲜,4
烧饼,味道,烧饼,4
番茄牛腩米线,外形,剁椒牛肉米线,4
皇后饼店,外形,皇后面包,4
眉州香肠,味道,剁椒鱼头,4
眉州香肠,味道,担担面,4
眉州香肠,味道,梅菜扣肉,4
眉州香肠,味道,酸辣粉,4
石盘烤肉,外形,石盘烤肉,4
米线,味道,棒,4
米线,外形,光滑明亮,4
米线,外形,辣,4
肉夹馍,外形,养生粥,4
肉夹馍,外形,米面皮,4
肉夹馍,外形,肉夹馍,4
肉夹馍,外形,酸辣粉,4
莲子汤,外形,冰糖莲子桂圆汤,4
蛋饺,外形,蛋饺,4
西柚多多,口感,奇异果多多,4
豆花鲜花饼,口感,云南大救驾,4
豆花鲜花饼,口感,酸菜鱼,4
赤豆酒酿圆子,味道,川贝雪梨,4
赤豆酒酿圆子,味道,肉汁萝卜,4
赤豆酒酿圆子,味道,赤豆酒酿圆子,4
酒酿,外形,少了点,4
酒酿,外形,酒酿,4
重庆火锅,味道,辣,4
重庆火锅,味道,重庆火锅,4
霸王餐,味道,霸王餐,4
韭菜炒鸡蛋,外形,老,4
韭菜炒鸡蛋,外形,韭菜炒鸡蛋,4
韭菜炒鸡蛋,外形,鱼香肉丝,4
食物,名称,三文鱼,4
食物,名称,咖啡,4
食物,名称,流沙包,4
食物,名称,烤鸭,4
食物,名称,米线,4
食物,名称,粥,4
食物,名称,面条,4
鱼香肉丝,口感,甜甜的,4
鸡爪,外形,特色,4
麻辣,外形,传统烤鸭,4
麻辣,外形,全聚德,4
麻辣,外形,海鲜,4
兰拉面,外形,博多拉面,3
冬阴功汤,口感,泰式烤猪颈肉,3
冬阴功汤,口感,清透,3
冬阴功汤,口感,菠萝海鲜饭,3
冬阴功汤,口感,香浓的味道和那种清透的香料味,3
凤爪,味道,鸳鸯锅,3
卷馍,外形,黑米粥,3
咕噜肉,口感,有药吗,3
咕噜肉,口感,脆,3
咕噜肉,味道,该甜的甜,3
咕噜肉,味道,酸,3
咕噜肉,外形,坨了汁,3
咕噜肉,外形,外皮,3
咕噜肉,外形,奇特,3
咕噜肉,外形,肥肉,3
咖啡,外形,青绿色的,3
咖喱蟹,味道,浓郁,3
啤酒,外形,宋城千古情,3
寿司,外形,巨大,3
干蒸烧麦,口感,牛腩煲,3
干蒸烧麦,口感,肠粉,3
手切鲜羊肉,口感,老北京涮羊肉,3
护心肉,口感,石锅拌饭,3
沙拉,外形,披萨,3
泡菜炒五花肉,外形,肋排,3
添福,味道,焦烧大排,3
添福,味道,石锅蝶鱼头,3
火锅,口感,原汁原味,3
火锅,味道,正宗,3
火锅,味道,鲜美,3
火锅,外形,大,3
火锅,外形,大圆桌,3
火锅,外形,大大的,3
火锅,外形,油油,3
炒猪肝,口感,嫩滑,3
烤生蚝,外形,饺子,3
烤生蚝,外形,馄饨,3
烤西红柿,味道,牛排,3
烤鸭,外形,一目了然,3
烤鸭,外形,不错,3
烤鸭,外形,精致,3
烤鸭,外形,薄厚均匀,3
热狗汉堡,外形,咖喱,3
热狗汉堡,外形,张宇饼,3
热狗汉堡,外形,星巴克,3
热狗汉堡,外形,照烧,3
热狗汉堡,外形,薯条,3
焗南瓜条,味道,鲜花椒炝鱼片,3
田鸡,味道,新鲜,3
田鸡,味道,新鲜的,3
田鸡,味道,清甜味,3
番茄麻辣锅,味道,火锅,3
皇后饼店,味道,健康,3
皇后饼店,味道,推陈出新,3
皇后饼店,外形,入口松软,3
皇后饼店,外形,创新造型,3
石盘烤肉,外形,泡菜饼,3
粥,口感,黏,3
红烧肉,外形,杏鲍菇炒牛肉,3
红烧肉,外形,沸腾鱼乡,3
红烧肉,外形,烤串,3
羊排,口感,小鸡炖蘑菇,3
羊排,口感,毛血旺,3
羊排,口感,炖脊骨,3
老北京火锅,味道,古色古香,3
老北京火锅,外形,原汁原味,3
老北京火锅,外形,古色古香,3
老北京火锅,外形,大,3
老北京火锅,外形,大圆桌,3
老北京火锅,外形,大大的,3
老北京火锅,外形,红灯笼,3
肯德基,外形,横着出去,3
自制牛排,味道,三麻辣锅,3
芝士三文鱼焗卷,口感,寿司,3
苗玲酸汤鱼,外形,四季恋,3
赤豆酒酿圆子,味道,丹桂藕,3
重庆火锅,味道,茶,3
霸王餐,味道,叶绿素,3
面线糊,口感,西街面线,3
面线糊,口感,饱,3
面线糊,口感,鲜美爽滑,3
食物,名称,冰淇淋,3
食物,名称,叉烧包,3
食物,名称,咕噜肉,3
食物,名称,咖喱蟹,3
食物,名称,汤,3
食物,名称,炒猪肝,3
食物,名称,烤生蚝,3
食物,名称,田鸡,3
食物,名称,皇后饼店,3
食物,名称,老北京火锅,3
食物,名称,肯德基,3
食物,名称,酸辣粉,3
食物,名称,面线糊,3
食物,名称,饺子,3
食物,名称,香辣小龙虾,3
食物,名称,麻辣牛肉,3
饺子,口感,猪肉香菇,3
香辣小龙虾,口感,去头,3
香辣小龙虾,口感,干净,3
香辣小龙虾,口感,没有味道,3
香辣小龙虾,味道,甜味,3
香辣小龙虾,味道,香,3
香辣小龙虾,味道,香味,3
香辣小龙虾,外形,去头,3
香辣小龙虾,外形,紧致弹,3
鸡茸蘑菇汤,外形,蛋糕,3
三文鱼,味道,新鲜,2
三文鱼,味道,新鲜度,2
三文鱼,味道,新鲜的,2
三文鱼,外形,厚切的,2
三文鱼寿司,外形,三文鱼寿司,2
三文鱼寿司,外形,寿司,2
三文鱼寿司,外形,松茸汤,2
三文鱼寿司,外形,薄厚适中,2
三文鱼寿司,外形,鳗鱼寿司,2
三鲜面,外形,三鲜面,2
三鲜面,外形,粗大,2
三鲜面,外形,舌尖中国,2
三鲜面,外形,面馆,2
串串,外形,串串,2
串串,外形,茅屎坑串串,2
串串,外形,草鸡,2
二郎田鸡,口感,小龙虾,2
二郎田鸡,口感,油炸腐竹,2
二郎田鸡,口感,清甜味,2
二郎田鸡,口感,田鸡腿,2
二郎田鸡,口感,白锅汤,2
二郎田鸡,口感,紧致弹,2
二郎田鸡,味道,新鲜,2
云南大救驾,口感,入口就化,2
云南大救驾,口感,豆香味,2
云南大救驾,味道,不甜,2
